Complexity,Loss,Equation
1,0.0005681204,"x4"
3,0.0005679599,"(x4 / 1.0006196)"
4,0.00056795875,"(x4 * square(0.9997134))"
5,0.0004027827,"(x4 + (-0.016005788 * x2))"
6,0.00039569585,"(x4 + (erf(-0.016005788) * x2))"
7,0.0003915563,"(x4 + (erf(erf(-0.016005788)) * x2))"
8,0.00039155467,"(x4 + (erf(erf(atanh_clip(-0.016005788))) * x2))"
9,0.00039112614,"(x4 + ((-0.016005788 * (1.1402779 + 0.17375094)) * x2))"
10,0.00039105778,"(x4 + (((x2 * 0.90905964) * square(-0.4735965)) * -0.10418483))"
17,0.00028396116,"(x4 - sin(cube((square(cos(square(x4) * x3)) * (exp(0.89770806) * x2)) * 0.16547062)))"
18,0.0002808845,"((x4 - sin(cube((square(cos(cube(x4))) * (exp(0.89770806) * x2)) * 0.16547062))) - cube(0.09492852))"
